# Data from paperscape.org
# If you use this data, please give due credit to: Damien P. George and Rob Knegjens, Paperscape
# A citable DOI for this data can be found at http://github.com/paperscape/paperscape-data
#
# Format is 1 line per entry, with 7 fields separated by semicolons:
# arxiv-id;comma-separated-arxiv-categories;num-found-refs;num-total-refs;comma-separated-refs;comma-separated-authors;title
# Parse with Python code: entries = [line.split(";", 7) for line in open("file")]
# See comments at the bottom of this file for statistics
cs/9401101;cs.AI;0;0;;N.Nilsson;Teleo-Reactive Programs for Agent Control
cs/9401102;cs.PL;0;0;;D.E.Knuth;Mini-indexes for literate programs
hep-ph/9401201;hep-ph;8;33;hep-ph/9204211,hep-ph/9212229,hep-ph/9212268,hep-ph/9301281,hep-ph/9304230,hep-ph/9304281,hep-ph/9306321,hep-ph/9308201;C.Grosse-Knetter;Nonstandard Quartic Self Interactions of Electroweak Vector Bosons within a Gauge Invariant Higher-Derivative Term
hep-ph/9401202;hep-ph;8;54;hep-ph/9212307,hep-ph/9306265,hep-th/9307086,hep-ph/9308276,hep-ph/9311379,hep-ph/9312207,hep-ph/9403283,hep-ph/9403291;A.Dobado,J.R.Pelaez;On the Equivalence Theorem in the $χPT$ Description of the Symmetry Breaking Sector of the Standard Model
cond-mat/9401001;cond-mat,hep-th;2;34;hep-th/9202057,cond-mat/9212028;F.D.M.Haldane;Physics of the Ideal Semion Gas: Spinons and Quantum Symmetries of the Integrable Haldane-Shastry Spin Chain
astro-ph/9401001;astro-ph;0;0;;T.Kolatt,A.Dekel,O.Lahav;Large-Scale Mass Distribution Behind the Galactic Plane
cond-mat/9401002;cond-mat;0;23;;M.Kasner;Test of the hierarchical theory for the FQHE
cond-mat/9401003;cond-mat,chao-dyn,nlin.CD,q-bio.NC;0;26;;N.Lemke,J.J.Arenzon,F.A.Tamarit;Chaotic Dynamics of High Order Neural Networks
hep-ph/9401203;hep-ph;0;40;;V.D.Mur,V.S.Popov,Yu.A.Simonov,V.P.Yurov;Description of Relativistic Heavy--Light Quark--Antiquark Systems via Dirac Equations
cond-mat/9401004;cond-mat;0;19;;L.S.Levitov,G.B.Lesovik;Quantum Measurement in Electric Circuit
